id	expression	claimed	status	value
m01	3.7*1400	8880	refuted	5180
m02	3.7*1400	5180	checked	5180
m03	2+2	4	checked	4
m04	2+3*4	14	checked	14
m05	(2+3)*4	20	checked	20
m06	2**3**2	512	checked	512
m07	-2**2	-4	checked	-4
m08	2**-1	0.5	checked	0.5
m09	100-40-30	30	checked	30
m10	7//2	3	checked	3
m11	7%3	1	checked	1
m12	10/4	2.5	checked	2.5
m13	1/3	0.33333333333333331	checked	0.33333333333333331
m14	1/3	0.33329999999999999	refuted	0.33333333333333331
m15	0.1+0.2	0.29999999999999999	checked	0.30000000000000004
m16	1000000*1.0000001	1000000	checked	1000000.1000000001
m17	1000000*1.00001	1000000	refuted	1000010.0000000001
m18	1e3*2	2000	checked	2000
m19	2**0.5	1.4142135623730951	checked	1.4142135623730951
m20	-5 - -3	-2	checked	-2
m21	x+1	1	unverifiable	
m22	2+	0	unverifiable	
m23	1/0	0	unverifiable	
m24	__import__('os').getpid()	1	unverifiable	
m25	1e300**2	1	unverifiable	
m26	1e300*1e300	1	unverifiable	
m27	10**1000	1	unverifiable	
